,load_prediction
2015-01-15 00:00:00,1.5395734427
2015-01-15 00:15:00,1.3521895364
2015-01-15 00:30:00,1.2739156822
2015-01-15 00:45:00,1.2439142945000001
2015-01-15 01:00:00,1.2216524633
2015-01-15 01:15:00,1.1935686345
2015-01-15 01:30:00,1.2280843019
2015-01-15 01:45:00,0.8970854491
2015-01-15 02:00:00,0.9950917656
2015-01-15 02:15:00,0.7800179828
2015-01-15 02:30:00,1.2113192193
2015-01-15 02:45:00,0.6415079017
2015-01-15 03:00:00,0.8979211129
2015-01-15 03:15:00,0.8079644645
2015-01-15 03:30:00,0.8380044788000001
2015-01-15 03:45:00,0.6247341787
2015-01-15 04:00:00,0.8174311824
2015-01-15 04:15:00,0.8629034395
2015-01-15 04:30:00,0.6585032659000001
2015-01-15 04:45:00,0.8724817516000001
2015-01-15 05:00:00,0.8666531151
2015-01-15 05:15:00,0.6714786641
2015-01-15 05:30:00,0.7554115464000001
2015-01-15 05:45:00,0.9580940463000001
2015-01-15 06:00:00,0.7458466356
2015-01-15 06:15:00,0.7229957645
2015-01-15 06:30:00,0.9201423096
2015-01-15 06:45:00,0.9916885937000001
2015-01-15 07:00:00,0.7880464127
2015-01-15 07:15:00,1.1786422851
2015-01-15 07:30:00,1.3876220427
2015-01-15 07:45:00,1.203407683
2015-01-15 08:00:00,1.3724720684
2015-01-15 08:15:00,1.3317241644
2015-01-15 08:30:00,2.1696780841
2015-01-15 08:45:00,2.0631157696
2015-01-15 09:00:00,1.9670758506000001
2015-01-15 09:15:00,1.6015044545000001
2015-01-15 09:30:00,1.3753221825
2015-01-15 09:45:00,1.1694765821
2015-01-15 10:00:00,0.8421636676
2015-01-15 10:15:00,0.9057022199
2015-01-15 10:30:00,0.9989810829
2015-01-15 10:45:00,1.0163673443
2015-01-15 11:00:00,1.1631730514
2015-01-15 11:15:00,1.089301076
2015-01-15 11:30:00,1.4996278678000001
2015-01-15 11:45:00,1.4874457439
2015-01-15 12:00:00,1.6251097750999999
2015-01-15 12:15:00,1.3788943792000001
2015-01-15 12:30:00,1.3104857132
2015-01-15 12:45:00,1.2966457124
2015-01-15 13:00:00,1.412777094
2015-01-15 13:15:00,1.37226898
2015-01-15 13:30:00,1.7263244487
2015-01-15 13:45:00,1.4075454327
2015-01-15 14:00:00,1.6214313348
2015-01-15 14:15:00,1.8175832843
2015-01-15 14:30:00,1.6334454842000001
2015-01-15 14:45:00,1.6594844547
2015-01-15 15:00:00,1.7735076581
2015-01-15 15:15:00,1.9802421408000002
2015-01-15 15:30:00,2.0082189483
2015-01-15 15:45:00,1.8306007785
2015-01-15 16:00:00,1.9238411336999999
2015-01-15 16:15:00,1.9294132235
2015-01-15 16:30:00,2.1417490607
2015-01-15 16:45:00,2.2555333614
2015-01-15 17:00:00,2.2139626347
2015-01-15 17:15:00,2.0242780115
2015-01-15 17:30:00,1.7615675285
2015-01-15 17:45:00,1.7170480333
2015-01-15 18:00:00,1.9243987334
2015-01-15 18:15:00,2.1436785984
2015-01-15 18:30:00,2.2331959635
2015-01-15 18:45:00,2.3806932976
2015-01-15 19:00:00,2.4653350271
2015-01-15 19:15:00,2.4802667531
2015-01-15 19:30:00,3.0194366465
2015-01-15 19:45:00,2.8043836529
2015-01-15 20:00:00,2.4630337834000002
2015-01-15 20:15:00,2.0761541754
2015-01-15 20:30:00,1.9993357865
2015-01-15 20:45:00,1.9943686595
2015-01-15 21:00:00,1.9842791341
2015-01-15 21:15:00,1.9129202495
2015-01-15 21:30:00,1.6594619715999999
2015-01-15 21:45:00,1.5441201222
2015-01-15 22:00:00,1.6747415376
2015-01-15 22:15:00,1.4165935189
2015-01-15 22:30:00,1.4127781016
2015-01-15 22:45:00,1.4606451462
2015-01-15 23:00:00,1.6104691215
2015-01-15 23:15:00,1.5495857241
2015-01-15 23:30:00,1.3697399162
2015-01-15 23:45:00,1.2894430821
2015-01-16 00:00:00,1.5395734427
2015-01-16 00:15:00,1.3353022816
2015-01-16 00:30:00,1.2974023096
2015-01-16 00:45:00,1.2299506667
2015-01-16 01:00:00,1.2216524633
2015-01-16 01:15:00,1.1791155915
2015-01-16 01:30:00,1.2441857057
2015-01-16 01:45:00,0.8926512619
